Timestamp,Is temperature less than 30 degrees,How is your climate?,Is your area belongs to coastal region?,Did you notice any rainfall in this week,Are there any speedy winds,Is there any fog today,Is there any humidity
2021/11/01 11:35:44 AM GMT+5:30,No,Cloudy,No,No,Yes,No,Yes
2021/11/01 11:36:16 AM GMT+5:30,Yes,Rainy,Yes,Yes,No,Yes,Yes
2021/11/01 11:36:26 AM GMT+5:30,No,Cloudy,No,Yes,No,No,Yes
2021/11/01 11:36:36 AM GMT+5:30,No,Rainy,Yes,Yes,Yes,Yes,No
2021/11/01 11:36:44 AM GMT+5:30,Yes,Sunny,No,Yes,No,Yes,Yes
2021/11/01 11:36:54 AM GMT+5:30,Yes,Cloudy,No,Yes,No,Yes,No
2021/11/01 11:37:01 AM GMT+5:30,No,Cloudy,Yes,Yes,No,No,No
2021/11/01 11:37:10 AM GMT+5:30,No,Sunny,Yes,No,No,No,No
2021/11/01 11:37:17 AM GMT+5:30,No,Sunny,Yes,No,Yes,No,Yes
2021/11/01 11:37:26 AM GMT+5:30,No,Cloudy,Yes,Yes,No,Yes,Yes
2021/11/01 11:37:33 AM GMT+5:30,No,Sunny,Yes,No,Yes,Yes,Yes
2021/11/01 11:37:34 AM GMT+5:30,No,Sunny,Yes,Yes,No,No,No
2021/11/01 11:37:44 AM GMT+5:30,Yes,Sunny,Yes,Yes,No,Yes,No
2021/11/01 11:37:45 AM GMT+5:30,Yes,Cloudy,Yes,Yes,No,Yes,Yes
2021/11/01 11:37:55 AM GMT+5:30,Yes,Sunny,Yes,Yes,Yes,Yes,No
2021/11/01 11:37:55 AM GMT+5:30,Yes,Sunny,No,Yes,No,Yes,No
2021/11/01 11:38:03 AM GMT+5:30,No,Sunny,No,No,Yes,Yes,Yes
2021/11/01 11:38:06 AM GMT+5:30,Yes,Sunny,Yes,No,Yes,Yes,Yes
2021/11/01 11:38:08 AM GMT+5:30,No,Sunny,Yes,No,Yes,Yes,Yes
2021/11/01 11:38:12 AM GMT+5:30,No,Sunny,No,Yes,Yes,Yes,Yes
2021/11/01 11:38:15 AM GMT+5:30,No,Cloudy,No,Yes,No,Yes,No
2021/11/01 11:38:23 AM GMT+5:30,Yes,Sunny,Yes,No,No,No,Yes
2021/11/01 11:38:26 AM GMT+5:30,Yes,Cloudy,No,Yes,Yes,Yes,Yes
2021/11/01 11:38:26 AM GMT+5:30,Yes,Cloudy,No,No,Yes,No,No
2021/11/01 11:38:31 AM GMT+5:30,Yes,Sunny,No,Yes,Yes,Yes,No
2021/11/01 11:38:37 AM GMT+5:30,Yes,Rainy,Yes,Yes,No,Yes,Yes
2021/11/01 11:38:41 AM GMT+5:30,No,Sunny,Yes,Yes,Yes,No,No
2021/11/01 11:38:48 AM GMT+5:30,Yes,Rainy,Yes,Yes,Yes,Yes,No
2021/11/01 11:38:50 AM GMT+5:30,Yes,Cloudy,No,Yes,Yes,No,Yes
2021/11/01 11:38:57 AM GMT+5:30,Yes,Sunny,Yes,Yes,No,No,No
2021/11/01 11:38:58 AM GMT+5:30,Yes,Cloudy,Yes,Yes,No,Yes,Yes
2021/11/01 11:38:59 AM GMT+5:30,Yes,Hot,Yes,Yes,Yes,Yes,yes
2021/11/01 11:39:06 AM GMT+5:30,Yes,Sunny,Yes,No,No,Yes,Yes
2021/11/01 11:39:12 AM GMT+5:30,Yes,Rainy,Yes,Yes,No,No,Yes
2021/11/01 11:39:12 AM GMT+5:30,Yes,Cloudy,Yes,Yes,No,Yes,Yes
2021/11/01 11:39:15 AM GMT+5:30,Yes,Sunny,No,Yes,No,No,Yes
2021/11/01 11:39:21 AM GMT+5:30,Yes,Cloudy,Yes,No,No,No,No
2021/11/01 11:39:24 AM GMT+5:30,Yes,Cloudy,Yes,Yes,Yes,No,Yes
2021/11/01 11:39:26 AM GMT+5:30,No,Cloudy,Yes,Yes,Yes,Yes,Yes
2021/11/01 11:39:33 AM GMT+5:30,No,Sunny,Yes,Yes,No,No,No
2021/11/01 11:39:40 AM GMT+5:30,Yes,Sunny,No,Yes,Yes,Yes,No
2021/11/01 11:39:50 AM GMT+5:30,No,Cloudy,Yes,No,Yes,Yes,Yes
2021/11/01 11:40:01 AM GMT+5:30,Yes,Cloudy,Yes,Yes,Yes,Yes,No
2021/11/01 11:40:10 AM GMT+5:30,Yes,Sunny,No,Yes,Yes,No,No
2021/11/01 11:40:20 AM GMT+5:30,Yes,Cloudy,No,Yes,No,Yes,Yes
2021/11/01 11:40:33 AM GMT+5:30,Yes,Cloudy,No,Yes,Yes,Yes,No
2021/11/01 11:40:40 AM GMT+5:30,Yes,Sunny,No,Yes,No,No,No
2021/11/01 11:40:48 AM GMT+5:30,Yes,Cloudy,No,Yes,No,No,Yes
2021/11/01 11:40:57 AM GMT+5:30,Yes,Cloudy,Yes,No,Yes,Yes,Yes
2021/11/01 11:41:05 AM GMT+5:30,Yes,Sunny,Yes,Yes,Yes,No,No
2021/10/031,No,Sunny,Yes,Yes,No,No,Yes
2021/10/031,Yes,Sunny,No,Yes,No,No,No
2021/10/031 11:41:29 AM GMT+5:30,No,Sunny,No,Yes,No,No,No
01-11-2021,Yes,Sunny,Yes,Yes,Yes,Yes,Yes
2021/11/01 11:41:47 AM GMT+5:30,Yes,Rainy,Yes,No,No,No,Yes
2021/11/01 11:41:47 AM GMT+5:30,Yes,Rainy,Yes,No,Yes,No,Yes
2021/11/01 11:41:59 AM GMT+5:30,Yes,Cloudy,Yes,No,Yes,No,Yes
2021/11/01 11:42:00 AM GMT+5:30,Yes,Sunny,No,No,Yes,Yes,No
2021/11/01 11:42:09 AM GMT+5:30,No,Rainy,NO,No,No,No,Yes
2021/11/01 11:42:21 AM GMT+5:30,Yes,Cloudy,Yes,Yes,Yes,Yes,Yes
2021/11/01 11:42:33 AM GMT+5:30,No,Cloudy,Yes,Yes,Yes,No,Yes
2021/11/01 11:42:44 AM GMT+5:30,Yes,Cloudy,No,No,No,Yes,Yes
2021/11/01 11:42:55 AM GMT+5:30,No,Rainy,No,Yes,Yes,No,No
2021/11/01 11:43:44 AM GMT+5:30,Yes,Cloudy,No,Yes,Yes,Yes,No
2021/11/01 11:46:19 AM GMT+5:30,Yes,Cloudy,No,Yes,No,No,Yes
2021/11/01 11:46:55 AM GMT+5:30,Yes,Cloudy,No,Yes,No,No,Yes
2021/11/01 11:47:12 AM GMT+5:30,Yes,Cloudy,No,Yes,No,Yes,Yes
2021/11/01 5:55:30 PM GMT+5:30,No,Sunny,Yes,No,No,Yes,Yes
2021/11/01 5:58:06 PM GMT+5:30,Yes,Cloudy,Yes,No,No,Yes,Yes
2021/11/01 6:22:10 PM GMT+5:30,Yes,Sunny,Yes,No,No,No,Yes
2021/11/01 6:22:26 PM GMT+5:30,Yes,Cloudy,Yes,No,Yes,Yes,Yes
2021/11/01 6:22:32 PM GMT+5:30,No,Rainy,Yes,Yes,No,No,Yes
2021/11/01 6:22:37 PM GMT+5:30,Yes,Cloudy,Yes,Yes,No,Yes,Yes
2021/11/01 6:22:43 PM GMT+5:30,Yes,Cloudy,No,No,Yes,No,No
2021/11/01 6:22:49 PM GMT+5:30,Yes,Cloudy,Yes,Yes,Yes,Yes,Yes
2021/11/01 6:22:52 PM GMT+5:30,No,Sunny,No,Yes,No,No,Yes
2021/11/01 6:22:59 PM GMT+5:30,Yes,Rainy,Yes,Yes,Yes,No,No
2021/11/01 6:23:01 PM GMT+5:30,No,Sunny,No,Yes,No,No,No
2021/11/01 6:23:09 PM GMT+5:30,No,Cloudy,Yes,No,No,Yes,Yes
2021/11/01 6:23:11 PM GMT+5:30,No,Sunny,Yes,Yes,Yes,No,Yes
2021/11/01 6:23:19 PM GMT+5:30,Yes,Cloudy,Yes,Yes,No,No,Yes
2021/11/01 6:23:20 PM GMT+5:30,Yes,Sunny,Yes,Yes,No,Yes,Yes
2021/11/01 6:23:31 PM GMT+5:30,Yes,Sunny,Yes,Yes,Yes,Yes,Yes
2021/11/01 6:23:32 PM GMT+5:30,Yes,Cloudy,No,No,No,No,Yes
2021/11/01 6:23:43 PM GMT+5:30,No,Cloudy,Yes,No,No,Yes,Yes
2021/11/01 6:23:54 PM GMT+5:30,No,Rainy,No,Yes,Yes,Yes,No
2021/11/01 6:24:04 PM GMT+5:30,Yes,Sunny,No,Yes,Yes,No,No
2021/11/01 6:24:14 PM GMT+5:30,No,Cloudy,Yes,No,No,No,Yes
2021/11/01 6:24:25 PM GMT+5:30,Yes,Cloudy,No,No,Yes,Yes,Yes
2021/11/01 6:24:34 PM GMT+5:30,Yes,Cloudy,No,No,No,No,Yes
2021/11/01 6:24:44 PM GMT+5:30,No,Cloudy,No,No,Yes,No,Yes
2021/11/01 6:24:53 PM GMT+5:30,No,Cloudy,No,Yes,No,No,Yes
2021/11/01 6:25:02 PM GMT+5:30,No,Cloudy,No,No,Yes,Yes,No
2021/11/01 6:25:08 PM GMT+5:30,Yes,Sunny,Yes,Yes,No,Yes,Yes
2021/11/01 6:25:13 PM GMT+5:30,No,Cloudy,No,Yes,Yes,No,Yes
2021/11/01 6:25:18 PM GMT+5:30,Yes,Sunny,Yes,Yes,Yes,No,Yes
2021/11/01 6:25:22 PM GMT+5:30,No,Sunny,No,Yes,No,No,Yes
2021/11/01 6:25:31 PM GMT+5:30,No,Cloudy,Yes,No,No,No,Yes
2021/11/01 6:25:31 PM GMT+5:30,Yes,Cloudy,Yes,Yes,Yes,Yes,Yes
2021/11/01 6:25:41 PM GMT+5:30,No,cloudy,Yes,Yes,No,No,Yes
2021/11/01 6:25:42 PM GMT+5:30,Yes,Sunny,Yes,Yes,Yes,Yes,Yes
2021/11/01 6:25:51 PM GMT+5:30,No,Rainy,Yes,No,Yes,No,Yes
2021/11/01 6:25:52 PM GMT+5:30,Yes,Sunny,Yes,Yes,Yes,Yes,No
2021/11/01 6:26:01 PM GMT+5:30,No,Cloudy,No,Yes,No,Yes,No
2021/11/01 6:26:02 PM GMT+5:30,Yes,Sunny,Yes,Yes,Yes,Yes,Yes
2021/11/01 6:26:11 PM GMT+5:30,No,Cloudy,No,No,Yes,No,Yes
2021/11/01 6:26:20 PM GMT+5:30,No,Cloudy,Yes,Yes,No,Yes,No
2021/11/01 6:26:30 PM GMT+5:30,No,Cloudy,No,No,Yes,Yes,No
